District,School,County,Enrollment,2021/09/18,2021/10/02,2021/10/16,2021/10/30,2021/11/13,2021/11/27,2021/12/11,2021/12/25
Moorhead Public School District,Red River Area Learning Center,Clay,99,0,0,0,0,0,0,0,0
Minnesota State Academies,MN Academy For The Deaf,Rice,97,0,0,0,0,0,0,0,0
Bagley Public School District,Bagley Elementary,Clearwater,514,19,48,57,61,65,65,65,65
Bagley Public School District,Bagley Secondary,Clearwater,420,9,48,57,61,65,65,65,65
Cook County Public Schools,Cook County Middle,Cook,98,0,0,0,0,0,0,0,0
Cook County Public Schools,Cook County Senior High,Cook,166,0,0,4,8,17,21,25,29
Cook County Public Schools,Sawtooth Mountain Elementary,Cook,133,0,0,0,0,0,0,0,0
Mountain Lake Public Schools,Mountain Lake Elementary,Cottonwood,257,0,0,9,13,17,17,17,17
Mountain Lake Public Schools,Mountain Lake Secondary,Cottonwood,248,0,0,0,0,0,0,0,0
Windom Public School District,Windom Senior High,Cottonwood,319,0,0,0,0,0,0,0,0
Windom Public School District,Windom Middle,Cottonwood,242,0,0,0,0,0,0,0,0
Windom Public School District,Windom Area Elementary,Cottonwood,529,0,0,0,4,8,17,21,25
Brainerd Public School District,Brainerd Early Childhood Sp. Ed.,Crow Wing,186,0,0,0,0,0,0,0,0
Brainerd Public School District,Baxter Elementary,Crow Wing,500,0,0,0,0,4,4,4,4
Brainerd Public School District,Garfield Elementary,Crow Wing,308,0,0,0,0,0,0,0,0
Brainerd Public School District,Harrison Elementary,Crow Wing,232,0,0,4,13,17,21,25,25
Brainerd Public School District,Lowell Elementary,Crow Wing,373,0,0,0,0,0,0,0,0
Brainerd Public School District,Riverside Elementary,Crow Wing,507,0,0,0,0,0,0,0,0
Brainerd Public School District,Brainerd Senior High,Crow Wing,1964,19,38,38,42,51,60,64,68
Brainerd Public School District,Nisswa Elementary,Crow Wing,260,0,0,0,0,0,0,0,0
Brainerd Public School District,Lincoln Education Center,Crow Wing,66,0,0,0,0,0,0,0,0
Brainerd Public School District,ISD 181 Learning Center,Crow Wing,112,0,0,0,0,0,0,0,0
Brainerd Public School District,Forestview Middle,Crow Wing,1895,9,38,57,76,85,94,103,107
Crosby-Ironton Public School District,Crosby-Ironton Secondary,Crow Wing,462,0,0,0,0,0,0,0,0
Crosby-Ironton Public School District,Cuyuna Range Elementary,Crow Wing,526,4,13,13,13,17,17,17,17
Pequot Lakes Public Schools,Eagle View Elementary,Crow Wing,570,19,38,38,38,42,42,42,42
Pequot Lakes Public Schools,Pequot Lakes Middle,Crow Wing,551,9,18,18,18,22,22,22,22
Pequot Lakes Public Schools,Pequot Lakes Senior High,Crow Wing,602,29,48,48,48,52,52,52,52
Burnsville Public School District,Burnsville High School,Dakota,2305,9,18,22,31,40,49,53,57
Burnsville Public School District,Eagle Ridge Middle School,Scott,415,0,0,0,0,0,0,0,0
Burnsville Public School District,Joseph Nicollet Middle School,Dakota,519,0,0,0,4,13,22,26,30
Burnsville Public School District,Burnsville Area Learning Center,Dakota,734,0,0,0,0,0,0,0,0
Burnsville Public School District,Early Education Program & Services,Dakota,142,0,0,0,0,0,0,0,0
Burnsville Public School District,Gideon Pond Elementary,Dakota,444,0,0,0,0,4,13,17,21
Burnsville Public School District,Edward Neill Elementary,Dakota,378,0,0,0,0,0,0,0,0
Burnsville Public School District,Vista View Elementary,Dakota,328,0,0,0,0,0,0,0,0
Burnsville Public School District,William Byrne Elementary,Dakota,567,0,0,4,8,17,26,30,34
Burnsville Public School District,Rahn Elementary,Dakota,359,0,0,0,4,8,17,21,25
Burnsville Public School District,Sky Oaks Elementary,Dakota,458,0,0,0,0,0,0,0,0
Burnsville Public School District,Hidden Valley Elementary,Scott,491,0,0,0,0,0,0,0,0
Burnsville Public School District,Harriet Bishop Elementary,Scott,613,0,0,0,0,0,0,0,0
Burnsville Public School District,Burnsville Alternative High School,Dakota,194,0,0,0,0,0,0,0,0
Farmington Public School District,Farmington Elementary,Dakota,600,0,0,4,8,27,46,50,54
Farmington Public School District,Farmington High School,Dakota,2203,9,28,32,36,45,49,53,57
Farmington Public School District,Levi P. Dodge Middle School,Dakota,802,4,13,22,31,50,59,63,67
Farmington Public School District,North Trail Elementary,Dakota,608,0,0,4,8,17,36,40,44
Farmington Public School District,Robert Boeckman Middle School,Dakota,891,0,0,4,8,17,36,40,44
Farmington Public School District,Meadowview Elementary,Dakota,684,9,13,17,21,40,49,58,67
Farmington Public School District,Riverview Elementary,Dakota,755,0,0,9,13,22,41,50,54
Farmington Public School District,Akin Road Elementary,Dakota,572,0,0,4,8,17,21,25,29
Lakeville Public School District,Lakeville North High,Dakota,1830,4,23,32,41,45,54,63,67
Lakeville Public School District,Lakeville South High,Dakota,1888,4,33,72,91,100,109,113,117
Lakeville Public School District,McGuire Middle,Dakota,817,0,0,4,8,27,36,45,49
Lakeville Public School District,Link12 Lakeville,Dakota,1217,0,0,0,0,0,0,0,0
Lakeville Public School District,Kenwood Trail Middle School,Dakota,639,4,13,22,26,35,39,43,47
Lakeville Public School District,Century Middle School,Dakota,791,4,13,22,41,50,69,73,77
Lakeville Public School District,Lakeville Early Childhood Program,Dakota,189,0,0,4,8,17,21,25,29
Lakeville Public School District,Lakeville Area Learning Center,Dakota,57,0,0,0,0,0,0,0,0
Lakeville Public School District,Kennedy Elementary,Dakota,470,0,0,4,8,17,21,30,34
Lakeville Public School District,Huddleston Elementary,Dakota,399,0,0,9,13,22,26,30,34
Lakeville Public School District,Orchard Lake Elementary,Dakota,284,4,13,13,13,17,26,30,34
Lakeville Public School District,Lake Marion Elementary,Dakota,614,0,0,29,33,52,71,80,84
Lakeville Public School District,Cherry View Elementary,Dakota,624,4,13,22,26,45,54,58,62
Lakeville Public School District,Lakeview Elementary,Dakota,458,0,0,0,4,8,27,31,35
Lakeville Public School District,Eastview Elementary,Dakota,539,0,0,9,18,27,31,35,39
Lakeville Public School District,Oak Hills Elementary,Dakota,459,0,0,9,13,17,26,30,34
Randolph Public School District,Randolph Elementary,Dakota,384,0,0,0,0,0,0,0,0
Randolph Public School District,Randolph Secondary,Dakota,322,0,0,0,0,0,0,0,0
Rosemount-Apple Valley-Eagan,Transition Plus,Dakota,142,0,0,0,0,0,0,0,0
Rosemount-Apple Valley-Eagan,Dakota Hills Middle,Dakota,1241,0,0,4,8,17,26,30,34
Rosemount-Apple Valley-Eagan,Black Hawk Middle,Dakota,853,0,0,0,0,4,13,17,21
Rosemount-Apple Valley-Eagan,Rosemount Senior High,Dakota,2530,0,0,0,4,8,12,21,25
Rosemount-Apple Valley-Eagan,Rosemount Middle,Dakota,1263,4,23,27,31,40,59,68,72
Rosemount-Apple Valley-Eagan,Eagan Senior High,Dakota,2132,0,0,4,8,17,36,40,44
Rosemount-Apple Valley-Eagan,Rosemount Area Learning Center,Dakota,131,0,0,0,0,0,0,0,0
Rosemount-Apple Valley-Eagan,School of Environmental Studies,Dakota,339,0,0,0,4,13,17,21,25
Rosemount-Apple Valley-Eagan,Falcon Ridge Middle,Dakota,1048,0,0,4,8,17,21,30,34
Rosemount-Apple Valley-Eagan,Eastview Senior High,Dakota,2302,0,0,0,4,13,22,31,35
Rosemount-Apple Valley-Eagan,Scott Highlands Middle,Dakota,1236,4,13,13,17,26,35,44,48
Rosemount-Apple Valley-Eagan,Apple Valley Senior High,Dakota,1791,4,13,17,26,35,54,63,67
Rosemount-Apple Valley-Eagan,Valley Middle,Dakota,1079,9,18,37,41,45,49,58,62
Rosemount-Apple Valley-Eagan,Dakota Ridge School,Dakota,113,0,0,9,13,17,17,17,17
Rosemount-Apple Valley-Eagan,Dakota Valley Learning Center,Dakota,454,0,0,0,0,0,0,0,0
Rosemount-Apple Valley-Eagan,Rosemount Elementary,Dakota,747,0,0,0,4,8,27,31,35
Rosemount-Apple Valley-Eagan,Northview Elementary,Dakota,452,0,0,0,0,0,0,0,0
Rosemount-Apple Valley-Eagan,Westview Elementary,Dakota,447,0,0,0,0,0,0,0,0
Rosemount-Apple Valley-Eagan,Southview Elementary,Dakota,639,0,0,19,23,27,36,40,44
Rosemount-Apple Valley-Eagan,Parkview Elementary,Dakota,785,4,13,17,36,45,49,58,62
Rosemount-Apple Valley-Eagan,Diamond Path Elementary School of International Studies,Dakota,715,0,0,4,13,32,36,45,49
Rosemount-Apple Valley-Eagan,Greenleaf Elementary,Dakota,785,0,0,0,4,13,17,21,25
Rosemount-Apple Valley-Eagan,Thomas Lake Elementary,Dakota,545,0,0,4,8,27,31,35,39
Rosemount-Apple Valley-Eagan,Highland Elementary,Dakota,716,4,13,17,21,30,39,48,52
Rosemount-Apple Valley-Eagan,Deerwood Elementary,Dakota,612,0,0,0,4,8,27,31,35
Rosemount-Apple Valley-Eagan,Woodland Elementary,Dakota,699,19,38,47,51,55,64,68,72
Rosemount-Apple Valley-Eagan,Pinewood El.,Dakota,569,19,23,32,36,40,49,58,62
Rosemount-Apple Valley-Eagan,Shannon Park Elementary,Dakota,585,0,0,4,8,17,21,30,34
Rosemount-Apple Valley-Eagan,East Lake Elementary School,Dakota,747,4,13,17,21,25,44,48,52
Rosemount-Apple Valley-Eagan,Glacier Hills Elementary School of Arts and Science,Dakota,689,0,0,0,4,13,17,21,25
Rosemount-Apple Valley-Eagan,Red Pine Elementary,Dakota,693,0,0,9,18,37,46,50,54
West St. Paul-Mendota Heights-Eagan,Friendly Hills Middle,Dakota,775,0,0,0,4,13,17,21,25
West St. Paul-Mendota Heights-Eagan,Henry Sibley High School,Dakota,1444,0,0,4,8,17,36,45,49
West St. Paul-Mendota Heights-Eagan,Heritage E-STEM Magnet School,Dakota,798,0,0,9,13,17,17,17,17
West St. Paul-Mendota Heights-Eagan,Moreland Art/Health Science Magnet,Dakota,367,0,0,9,13,17,17,17,17
West St. Paul-Mendota Heights-Eagan,Mendota Elementary,Dakota,397,0,0,0,0,4,8,17,21
West St. Paul-Mendota Heights-Eagan,Garlough Environmental Magnet,Dakota,397,0,0,0,0,0,0,0,0
West St. Paul-Mendota Heights-Eagan,Somerset Elementary,Dakota,365,4,13,22,26,30,30,30,30
West St. Paul-Mendota Heights-Eagan,Pilot Knob STEM Magnet School,Dakota,399,0,0,0,0,4,8,17,21
West St. Paul-Mendota Heights-Eagan,Early Learning Resource Center,Dakota,166,0,0,0,0,0,0,0,0
Inver Grove Heights Schools,Simley Senior High,Dakota,1112,9,13,17,21,30,39,58,62
Inver Grove Heights Schools,Inver Grove Heights Middle,Dakota,767,0,0,0,4,13,32,36,40
Inver Grove Heights Schools,Atheneum Elementary,Dakota,101,0,0,0,0,0,0,0,0
Inver Grove Heights Schools,Hilltop Elementary,Dakota,518,0,0,0,4,13,22,26,30
Inver Grove Heights Schools,Pine Bend Elementary,Dakota,554,0,0,0,0,0,0,0,0
Inver Grove Heights Schools,Salem Hills Elementary,Dakota,287,0,0,4,8,17,26,30,34
Inver Grove Heights Schools,IGH Early Childhood Program,Dakota,69,0,0,0,0,0,0,0,0
Hastings Public School District,Hastings High School,Dakota,1404,4,8,27,36,55,74,93,97
Hastings Public School District,Hastings Middle School,Dakota,1280,9,28,37,46,75,94,113,117
Hastings Public School District,Hastings Early Child Special Ed.,Dakota,82,0,0,0,0,0,0,0,0
Hastings Public School District,Kennedy Elementary,Dakota,452,0,0,4,8,17,36,40,44
Hastings Public School District,Pinecrest Elementary,Dakota,456,0,0,19,23,27,46,50,54
Hastings Public School District,Christa McAuliffe Elementary,Dakota,507,0,0,4,8,17,66,70,74
Hayfield Public School District,HAYFIELD SECONDARY,Dodge,376,0,0,4,8,17,36,40,44
Hayfield Public School District,Hayfield Elementary,Dodge,291,0,0,4,8,37,46,50,54
Kasson-Mantorville School District,Kasson-Mantorville Elementary,Dodge,862,0,0,4,8,27,56,60,64
Kasson-Mantorville School District,Kasson-Mantorville Senior High,Dodge,672,4,13,17,21,30,49,53,57
Kasson-Mantorville School District,Kasson-Mantorville Middle School,Dodge,700,9,13,17,21,40,69,73,77
Alexandria Public School District,Carlos Elementary,Douglas,116,0,0,0,0,0,0,0,0
Alexandria Public School District,Garfield Elementary,Douglas,156,0,0,0,0,0,0,0,0
Alexandria Public School District,Lincoln Elementary,Douglas,441,9,13,22,26,45,64,68,72
Alexandria Public School District,Miltona Elementary,Douglas,138,0,0,0,0,0,0,0,0
Alexandria Public School District,Woodland Elementary School,Douglas,402,0,0,4,13,22,41,50,54
Alexandria Public School District,Voyager Elementary,Douglas,427,9,13,13,17,26,35,39,43
Alexandria Public School District,Early Education Center,Douglas,91,0,0,0,0,0,0,0,0
Alexandria Public School District,Discovery Middle School,Douglas,986,4,23,32,41,60,79,88,92
Alexandria Public School District,Alexandria Area High School,Douglas,1307,9,28,37,56,75,84,88,92
Osakis Public School District,Osakis Elementary,Douglas,410,9,13,17,21,30,39,43,47
Osakis Public School District,Osakis Secondary,Douglas,427,9,18,18,18,27,27,27,27
Chatfield Public Schools,Chatfield Secondary,Olmsted,420,0,0,0,0,0,0,0,0
Chatfield Public Schools,Chatfield Elementary School,Fillmore,437,0,0,0,4,8,17,21,25
Lanesboro Public School District,Lanesboro Elementary,Fillmore,206,0,0,4,13,17,21,25,25
Lanesboro Public School District,Lanesboro Secondary,Fillmore,184,0,0,0,0,0,0,0,0
Mabel-Canton Public School Dist.,Mabel-Canton Elementary,Fillmore,159,0,0,0,0,0,0,0,0
Mabel-Canton Public School Dist.,Mabel-Canton Secondary,Fillmore,133,0,0,0,0,0,0,0,0
Rushford-Peterson Public Schools,Rushford-Peterson Elementary,Fillmore,272,4,8,17,21,25,25,25,25
Rushford-Peterson Public Schools,Rushford-Peterson Senior High,Fillmore,196,0,0,0,0,0,0,0,0
Rushford-Peterson Public Schools,Rushford-Peterson Middle,Fillmore,187,0,0,0,0,0,0,0,0
Albert Lea Public School District,Halverson Elementary,Freeborn,386,9,13,13,13,13,13,13,13
Albert Lea Public School District,Brookside Early Childhood Special Education,Freeborn,74,0,0,0,0,0,0,0,0
Albert Lea Public School District,Hawthorne Elementary,Freeborn,422,0,0,0,4,8,12,21,25
Albert Lea Public School District,Lakeview Elementary,Freeborn,393,4,13,13,13,17,26,35,39
Albert Lea Public School District,Sibley Elementary,Freeborn,322,0,0,0,0,0,0,0,0
Albert Lea Public School District,Albert Lea Senior High,Freeborn,1266,4,13,22,26,30,34,53,57
Albert Lea Public School District,Southwest Middle,Freeborn,531,0,0,9,13,22,26,30,34
Albert Lea Public School District,Albert Lea Area Learning Center,Freeborn,106,0,0,0,0,0,0,0,0
Alden-Conger Public School District,Alden-Conger Secondary,Freeborn,220,4,23,23,23,27,27,27,27
Alden-Conger Public School District,Alden-Conger Elementary,Freeborn,249,0,0,0,0,0,0,0,0
Cannon Falls Public School District,Cannon Falls Elementary,Goodhue,464,0,0,4,13,62,81,85,89
Cannon Falls Public School District,Cannon Falls Secondary,Goodhue,665,4,8,27,36,55,59,63,67
Goodhue Public School District,Goodhue Elementary,Goodhue,385,0,0,4,8,27,31,35,39
Goodhue Public School District,Goodhue Secondary,Goodhue,338,0,0,0,0,0,0,0,0
Pine Island Public School District,Pine Island Elementary,Olmsted,563,0,0,9,18,27,36,40,44
Pine Island Public School District,Pine Island Middle,Goodhue,475,4,8,27,46,65,84,88,92
Pine Island Public School District,Pine Island Secondary,Goodhue,401,0,0,0,0,0,0,0,0
Red Wing Public School District,Red Wing Senior High,Goodhue,1157,0,0,4,13,32,51,60,64
Red Wing Public School District,Twin Bluff School,Goodhue,481,0,0,4,23,42,61,70,74
Red Wing Public School District,Burnside Elementary,Goodhue,369,0,0,0,4,8,17,26,30
Red Wing Public School District,Jefferson Elementary,Goodhue,172,0,0,0,0,0,0,0,0
Red Wing Public School District,Sunnyside Elementary,Goodhue,282,0,0,4,13,32,41,50,54
Red Wing Public School District,Colvill Family Education Center,Goodhue,66,0,0,0,0,0,0,0,0
Ashby Public School District,Ashby Elementary,Grant,185,0,0,0,0,0,0,0,0
Ashby Public School District,Ashby Secondary,Grant,139,0,0,0,0,0,0,0,0
Herman-Norcross School District,Herman Elementary,Grant,53,0,0,0,0,0,0,0,0
Hopkins Public School District,Hopkins Senior High,Hennepin,1611,0,0,0,0,4,8,17,21
Hopkins Public School District,Hopkins North Junior High,Hennepin,975,0,0,0,0,0,0,0,0
Hopkins Public School District,Hopkins West Junior High,Hennepin,599,0,0,4,8,17,21,25,29
Hopkins Public School District,Alice Smith Elementary,Hennepin,483,0,0,0,0,0,0,0,0
Hopkins Public School District,Glen Lake Elementary,Hennepin,454,9,18,27,31,35,44,48,52
Hopkins Public School District,Harley Hopkins Family Center,Hennepin,93,0,0,0,0,0,0,0,0
Hopkins Public School District,Eisenhower Elementary,Hennepin,401,0,0,0,0,0,0,0,0
Hopkins Public School District,L.H. Tanglen Elementary,Hennepin,549,0,0,4,8,17,21,25,29
Hopkins Public School District,Xinxing Academy,Hennepin,336,0,0,0,0,0,0,0,0
Hopkins Public School District,Gatewood Elementary,Hennepin,478,0,0,4,8,17,26,35,39
Hopkins Public School District,Meadowbrook Elementary,Hennepin,837,0,0,4,8,27,46,50,54
Bloomington Public School District,Kennedy Senior High,Hennepin,1597,0,0,9,13,17,21,30,34
Bloomington Public School District,Jefferson Senior High,Hennepin,1655,0,0,4,8,27,46,55,59
Bloomington Public School District,Oak Grove Middle,Hennepin,670,0,0,0,4,8,17,21,25
Bloomington Public School District,Valley View Middle,Hennepin,903,0,0,0,4,8,17,21,25
Bloomington Public School District,Olson Middle,Hennepin,705,0,0,0,4,8,17,26,30
Bloomington Public School District,Washburn Elementary,Hennepin,706,0,0,0,0,4,13,17,21
Bloomington Public School District,Hillcrest Elementary,Hennepin,343,0,0,0,4,13,22,26,30
Bloomington Public School District,Indian Mounds Elementary,Hennepin,292,0,0,0,0,0,0,0,0
Bloomington Public School District,Olson Elementary,Hennepin,391,4,23,23,27,36,40,44,48
Bloomington Public School District,Oak Grove Elementary,Hennepin,409,0,0,0,4,13,17,26,30
Bloomington Public School District,Normandale Hills Elementary,Hennepin,391,0,0,9,13,22,26,30,34
Bloomington Public School District,Poplar Bridge Elementary,Hennepin,416,4,13,13,13,17,17,17,17
Bloomington Public School District,Ridgeview Elementary,Hennepin,369,0,0,0,0,0,0,0,0
Bloomington Public School District,Valley View Elementary,Hennepin,476,0,0,4,8,17,26,30,34
Bloomington Public School District,Westwood Elementary,Hennepin,351,0,0,0,0,0,0,0,0
Bloomington Public School District,Bloomington ECSE,Hennepin,178,0,0,0,0,0,0,0,0
Bloomington Public School District,Choice Alternative High School,Hennepin,135,0,0,0,0,0,0,0,0
Bloomington Public School District,Beacon ALP,Hennepin,122,0,0,0,0,0,0,0,0
Eden Prairie Public School District,EP Distance Learning Academy,Hennepin,1110,0,0,0,0,0,0,0,0
Eden Prairie Public School District,Eden Prairie Senior High,Hennepin,2828,0,0,9,18,37,46,55,59
Eden Prairie Public School District,Central Middle School,Hennepin,1315,4,23,32,51,70,79,83,87
Eden Prairie Public School District,Oak Point Elementary,Hennepin,478,9,18,37,41,50,59,63,67
Eden Prairie Public School District,Prairie View Elementary,Hennepin,540,4,13,22,26,45,64,68,72
Eden Prairie Public School District,Forest Hills Elementary,Hennepin,382,0,0,9,18,22,26,30,30
Eden Prairie Public School District,Eden Lake Elementary,Hennepin,542,4,13,13,13,17,17,17,17
Eden Prairie Public School District,Early Childhood Special Ed.,Hennepin,123,0,0,0,0,0,0,0,0
Eden Prairie Public School District,Eagle Heights Spanish Immersion,Hennepin,801,9,18,37,41,50,54,63,67
Eden Prairie Public School District,Cedar Ridge Elementary,Hennepin,439,0,0,0,0,0,0,0,0
Edina Public School District,South View Middle,Hennepin,968,0,0,9,13,22,22,22,22
Edina Public School District,Valley View Middle,Hennepin,1010,0,0,0,0,4,13,17,21
Edina Public School District,Edina Senior High,Hennepin,2683,0,0,9,13,22,31,60,99
Edina Public School District,Concord Elementary,Hennepin,698,4,23,27,31,40,49,53,57
Edina Public School District,Cornelia Elementary,Hennepin,550,0,0,4,13,22,26,30,34
Edina Public School District,Countryside Elementary,Hennepin,573,0,0,0,0,4,13,17,21
Edina Public School District,Highlands Elementary,Hennepin,530,0,0,0,4,13,22,31,35
Edina Public School District,Creek Valley Elementary,Hennepin,576,9,13,32,36,40,40,40,40
Edina Public School District,Normandale Elementary,Hennepin,651,0,0,4,8,17,26,30,34
Edina Public School District,Early Childhood Special Ed,Hennepin,95,0,0,0,0,0,0,0,0
Minnetonka Public School District,Minnetonka Senior High,Hennepin,3444,19,28,37,41,50,59,68,72
Minnetonka Public School District,Minnetonka East Middle,Hennepin,1315,4,8,17,21,30,39,43,47
Minnetonka Public School District,Minnetonka West Middle,Carver,1245,4,8,17,21,50,69,78,82
Minnetonka Public School District,Clear Springs Elementary,Hennepin,863,4,13,17,21,30,49,58,62
Minnetonka Public School District,Deephaven Elementary,Hennepin,652,0,0,4,8,12,16,25,29
Minnetonka Public School District,Excelsior Elementary,Hennepin,800,0,0,4,8,27,36,45,49
Minnetonka Public School District,Groveland Elementary,Hennepin,917,0,0,4,13,62,81,85,89
Minnetonka Public School District,Minnewashta Elementary,Hennepin,898,0,0,9,18,57,76,85,89
Minnetonka Public School District,Scenic Heights Elementary,Hennepin,901,0,0,4,13,32,41,45,49
Minnetonka Public School District,Deephaven Education Center,Hennepin,71,0,0,0,0,0,0,0,0
Westonka Public School District,MOUND WESTONKA HIGH SCHOOL,Hennepin,1018,4,13,17,21,30,34,38,42
Westonka Public School District,Grandview Middle School,Hennepin,539,4,23,32,36,40,49,53,57
Westonka Public School District,Shirley Hills Primary School,Hennepin,417,0,0,4,8,17,21,25,29
Westonka Public School District,Hilltop Primary School,Hennepin,460,4,13,17,26,35,44,48,52
Orono Public School District,Orono Senior High,Hennepin,970,0,0,4,8,17,21,25,29
Orono Public School District,Orono Middle,Hennepin,698,4,13,17,26,30,34,38,38
Orono Public School District,Schumann Elementary,Hennepin,567,0,0,4,8,17,36,40,44
Orono Public School District,Orono Intermediate Elementary,Hennepin,609,4,13,22,26,30,30,30,30
Osseo Public School District,Osseo Senior High,Hennepin,1602,0,0,19,38,47,66,70,74
Osseo Public School District,Osseo Middle School,Hennepin,882,0,0,19,28,37,46,50,54
Osseo Public School District,Osseo Education Center,Hennepin,68,0,0,0,4,13,17,21,25
Osseo Public School District,North View Middle School,Hennepin,406,0,0,0,0,0,0,0,0
Osseo Public School District,Park Center IB World School,Hennepin,1374,0,0,4,13,17,21,30,34
Osseo Public School District,Maple Grove Senior High,Hennepin,2077,29,38,42,46,55,64,68,72
Osseo Public School District,Maple Grove Middle School,Hennepin,1331,4,13,22,31,50,59,68,72
Osseo Public School District,Woodland Elementary,Hennepin,456,0,0,0,4,8,12,21,25
Osseo Public School District,Edinbrook Elementary,Hennepin,488,0,0,4,13,22,31,35,39
Osseo Public School District,Rush Creek Elementary,Hennepin,630,4,13,32,36,55,59,63,67
Osseo Public School District,Basswood Elementary,Hennepin,746,0,0,4,13,42,61,65,69
Osseo Public School District,Birch Grove School For The Arts,Hennepin,252,0,0,4,13,22,31,35,39
Osseo Public School District,Crest View Elementary,Hennepin,240,0,0,0,0,0,0,0,0
Osseo Public School District,Fair Oaks Elementary,Hennepin,256,0,0,0,0,0,0,0,0
Osseo Public School District,Garden City Elementary,Hennepin,223,0,0,0,0,0,0,0,0
Osseo Public School District,Palmer Lake Elementary,Hennepin,286,0,0,0,0,4,8,17,21
Osseo Public School District,Park Brook Elementary,Hennepin,199,0,0,0,0,0,0,0,0
Osseo Public School District,Cedar Island Elementary,Hennepin,338,0,0,4,8,27,31,35,39
Osseo Public School District,Elm Creek Elementary,Hennepin,366,0,0,0,0,4,13,17,21
Osseo Public School District,Rice Lake Elementary,Hennepin,465,4,13,17,26,45,54,58,62
Osseo Public School District,Fernbrook Elementary,Hennepin,651,9,18,22,31,50,54,58,62
Osseo Public School District,Oak View Elementary,Hennepin,338,0,0,0,4,13,22,26,30
Osseo Public School District,Early Childhood Special Education,Hennepin,325,0,0,0,0,0,0,0,0
Osseo Public School District,ALC Senior High,Hennepin,136,0,0,0,0,0,0,0,0
Osseo Public School District,Distance Learning Academy K-5,Hennepin,2414,0,0,0,0,0,0,0,0
Osseo Public School District,Distance Learning Academy 6-8,Hennepin,1178,0,0,0,0,0,0,0,0
Osseo Public School District,Distance Learning Academy 9-12,Hennepin,1537,0,0,0,0,0,0,0,0
Richfield Public School District,Richfield Senior High,Hennepin,1137,9,13,13,13,17,21,30,34
Richfield Public School District,Richfield STEM School,Hennepin,636,0,0,4,13,17,21,25,25
Richfield Public School District,Richfield Middle,Hennepin,920,0,0,9,13,17,17,17,17
Richfield Public School District,Centennial Elementary,Hennepin,397,0,0,0,0,0,0,0,0
Richfield Public School District,Central Education Center,Hennepin,83,0,0,0,0,0,0,0,0
Richfield Public School District,Sheridan Hills Elementary,Hennepin,410,4,13,13,17,26,35,44,48
Richfield Public School District,Richfield Dual Language School,Hennepin,488,9,13,32,36,45,49,53,57
Richfield Public School District,Richfield College Experience Program,Hennepin,62,0,0,0,0,0,0,0,0
Robbinsdale Public School District,Forest Elementary,Hennepin,535,0,0,0,0,0,0,0,0
Robbinsdale Public School District,Lakeview Elementary,Hennepin,405,0,0,0,0,0,0,0,0
Robbinsdale Public School District,School of Engineering-Arts At Olson,Hennepin,439,0,0,0,0,0,0,0,0
Robbinsdale Public School District,Meadow Lake Elementary,Hennepin,502,0,0,0,0,0,0,0,0
Robbinsdale Public School District,Neill Elementary,Hennepin,364,0,0,0,0,0,0,0,0
Robbinsdale Public School District,Robbinsdale Spanish Immersion El.,Hennepin,725,4,23,32,36,45,54,58,62
Robbinsdale Public School District,Noble Elementary,Hennepin,279,0,0,4,8,17,21,25,29
Robbinsdale Public School District,Northport Elementary,Hennepin,503,0,0,0,0,0,0,0,0
Robbinsdale Public School District,FAIR School Pilgrim Lane,Hennepin,367,0,0,0,0,0,0,0,0
Robbinsdale Public School District,Sonnesyn Elementary,Hennepin,372,0,0,0,0,0,0,0,0
Robbinsdale Public School District,Zachary Lane Elementary,Hennepin,446,0,0,0,0,0,0,0,0
Robbinsdale Public School District,Plymouth Middle,Hennepin,1006,0,0,9,13,17,17,17,17
Robbinsdale Public School District,Robbinsdale Middle,Hennepin,791,0,0,0,0,0,0,0,0
Robbinsdale Public School District,Sandburg Middle School,Hennepin,583,0,0,0,0,0,0,0,0
Robbinsdale Public School District,Robbinsdale Cooper Senior High,Hennepin,1694,9,28,37,46,55,59,63,67
Robbinsdale Public School District,Robbinsdale Armstrong Senior High,Hennepin,1926,9,13,22,26,30,39,48,52
Robbinsdale Public School District,Early Childhood Special Education,Hennepin,175,0,0,0,0,0,0,0,0
Robbinsdale Public School District,Robbinsdale Transition Center,Hennepin,67,0,0,0,0,0,0,0,0
Robbinsdale Public School District,Highview ALC,Hennepin,223,0,0,0,0,0,0,0,0
Robbinsdale Public School District,The FAIR School - Crystal,Hennepin,222,0,0,0,0,0,0,0,0
St. Anthony-New Brighton Schools,St. Anthony Village Senior High,Hennepin,673,0,0,4,8,12,16,25,25
St. Anthony-New Brighton Schools,Wilshire Park Elementary,Hennepin,656,0,0,4,13,22,31,40,44
St. Anthony-New Brighton Schools,St. Anthony Middle,Hennepin,422,0,0,0,0,0,0,0,0
St. Louis Park Public School District,St. Louis Park Senior High,Hennepin,1467,0,0,9,13,17,36,40,44
St. Louis Park Public School District,St. Louis Park Middle School,Hennepin,1001,0,0,4,13,22,31,40,44
St. Louis Park Public School District,Aquila Elementary,Hennepin,538,0,0,9,13,17,26,30,30
St. Louis Park Public School District,Peter Hobart Elementary,Hennepin,493,9,13,17,26,30,39,43,47
St. Louis Park Public School District,Susan Lindgren Elementary,Hennepin,444,0,0,4,13,17,26,30,34
St. Louis Park Public School District,St. Louis Park Special Ed. Program,Hennepin,103,0,0,0,0,0,0,0,0
