District,School,County,Type,Enrollment,Grades,2021/09/18,2021/10/02,2021/10/16,2021/10/30,2021/11/13,2021/11/27,2021/12/11,2021/12/25,2022/01/08,2022/01/22,2022/02/05
Hutchinson Public School District,Cornerstone,Mcleod,Public,12,6912,0,0,0,0,0,0,0,0,0,0,0
Hutchinson Public School District,Hutchinson West Elementary,Mcleod,Public,402,3,10,15,15,15,15,20,20,20,20,30,30
Hutchinson Public School District,CROW RIVER AREA LEARNING CENTER,Mcleod,Public,4,6144,0,0,0,0,0,0,0,0,0,0,0
Hutchinson Public School District,Hutchinson Night Alt Learning Ctr,Mcleod,Public,5,4096,0,0,0,0,0,0,0,0,0,0,0
Hutchinson Public School District,Hutchinson Middle School A.L.C.,Mcleod,Public,40,448,0,0,0,0,0,0,0,0,0,0,0
Hutchinson Public School District,Hutchinson Transition Assistance PG,Mcleod,Public,13,4096,0,0,0,0,0,0,0,0,0,0,0
Lester Prairie Public School Dist.,Lester Prairie Elementary,Mcleod,Public,242,127,0,0,0,0,0,0,0,0,0,0,0
Lester Prairie Public School Dist.,Lester Prairie Secondary,Mcleod,Public,244,8064,0,0,0,0,0,0,0,0,0,0,0
Mahnomen Public School District,Mahnomen Elementary,Mahnomen,Public,341,127,0,0,0,0,0,0,0,0,0,0,0
Mahnomen Public School District,Mahnomen Secondary,Mahnomen,Public,272,8064,0,0,0,0,0,5,5,5,5,5,5
Mahnomen Public School District,MAHNOMEN AREA LEARNING CENTER,Mahnomen,Public,46,8064,0,0,0,0,0,0,0,0,0,0,0
Waubun-Ogema-White Earth Public Sch,Waubun Elementary,Mahnomen,Public,177,112,0,0,0,0,0,0,0,0,0,0,0
Waubun-Ogema-White Earth Public Sch,Ogema Elementary,Becker,Public,271,15,0,0,0,0,0,0,0,0,0,0,0
Waubun-Ogema-White Earth Public Sch,Waubun Secondary,Mahnomen,Public,221,8064,0,0,0,0,0,0,0,0,0,0,0
Waubun-Ogema-White Earth Public Sch,Waubun Area Learning Program,Mahnomen,Public,28,7680,0,0,0,0,0,0,0,0,0,0,0
Marshall County Central Schools,Newfolden Elementary,Marshall,Public,133,120,0,0,0,0,0,0,0,0,0,0,0
Marshall County Central Schools,Marshall County Central High,Marshall,Public,204,8064,0,0,0,0,0,0,0,0,0,0,0
Marshall County Central Schools,Viking Elementary,Marshall,Public,93,7,0,0,0,0,0,0,0,0,0,0,0
Grygla Public School District,Grygla Elementary,Marshall,Public,72,127,0,0,0,0,0,0,0,0,0,0,0
Grygla Public School District,Grygla Secondary,Marshall,Public,73,8064,0,0,0,0,0,0,0,0,0,0,0
Truman Public School District,Truman Elementary,Martin,Public,149,127,0,5,5,5,5,5,5,5,5,10,10
Truman Public School District,Truman Secondary,Martin,Public,94,8064,0,0,0,0,0,0,0,0,0,5,5
Eden Valley-Watkins School District,Eden Valley Elementary,Stearns,Public,395,127,5,15,25,25,30,30,30,30,30,30,30
Eden Valley-Watkins School District,Eden Valley Secondary,Meeker,Public,476,8064,5,15,20,20,20,25,25,25,25,25,25
Eden Valley-Watkins School District,Watkins Elementary,Meeker,Public,62,1,0,0,0,0,0,0,0,0,0,0,0
Litchfield Public School District,Lake Ripley Elementary,Meeker,Public,515,31,0,10,10,10,10,10,10,10,10,10,10
Litchfield Public School District,Litchfield Middle School,Meeker,Public,466,480,0,10,15,20,25,25,25,25,25,30,30
Litchfield Public School District,Litchfield Senior High,Meeker,Public,462,7680,0,5,10,10,10,10,10,10,10,15,15
Litchfield Public School District,Litchfield Area Learning Program,Meeker,Public,11,7168,0,0,0,0,0,0,0,0,0,0,0
Litchfield Public School District,Litchfield Early Childhood Special Education,Meeker,Public,24,1,0,0,0,0,0,0,0,0,0,0,0
Dassel-Cokato Public School Dist.,Cokato Elementary,Wright,Public,380,31,0,5,5,5,5,5,5,5,5,5,5
Dassel-Cokato Public School Dist.,Dassel-Cokato Senior High,Wright,Public,574,7680,0,0,0,0,0,5,10,10,10,10,10
Dassel-Cokato Public School Dist.,Dassel Elementary,Meeker,Public,313,31,0,5,5,5,5,10,10,10,10,10,10
Dassel-Cokato Public School Dist.,Dassel-Cokato Middle,Wright,Public,646,480,0,0,0,0,5,10,10,10,10,10,10
Dassel-Cokato Public School Dist.,Dassel-Cokato Alternative Ctr.,Wright,Public,92,7168,0,0,0,0,0,0,0,0,0,0,0
Isle Public School District,Isle Elementary,Mille Lacs,Public,206,127,0,0,0,0,0,0,0,0,0,5,5
Isle Public School District,Isle Secondary,Mille Lacs,Public,189,8064,0,0,0,0,0,0,0,0,0,0,0
Isle Public School District,ISLE AREA LEARNING CENTER,Mille Lacs,Public,28,7808,0,0,0,0,0,0,0,0,0,0,0
Princeton Public School District,Princeton Primary School,Mille Lacs,Public,656,7,0,10,15,20,25,35,40,40,40,40,40
Princeton Public School District,Princeton Intermediate School,Mille Lacs,Public,693,56,0,10,15,20,40,50,50,50,50,50,50
Princeton Public School District,Princeton Middle School,Mille Lacs,Public,745,448,10,15,15,15,35,45,45,45,45,45,45
Princeton Public School District,Princeton High School,Mille Lacs,Public,911,7680,0,5,10,20,40,45,45,45,45,45,45
Princeton Public School District,Princeton Online MN,Mille Lacs,Public,97,7680,0,0,0,0,0,0,0,0,0,0,0
Princeton Public School District,Princeton Area Learning Center,Mille Lacs,Public,33,7168,0,0,0,0,0,0,0,0,0,0,0
Princeton Public School District,Onward Transition Program,Mille Lacs,Public,9,4096,0,0,0,0,0,0,0,0,0,0,0
Princeton Public School District,Early Childhood Special Education,Mille Lacs,Public,53,1,0,0,0,0,0,0,0,0,0,0,0
Princeton Public School District,Credit Recovery,Mille Lacs,Public,14,6144,0,0,0,0,0,0,0,0,0,0,0
Onamia Public School District,Onamia Primary School,Mille Lacs,Public,116,7,0,0,0,0,0,0,0,0,0,0,0
Onamia Public School District,Onamia High School,Mille Lacs,Public,104,7168,0,0,0,0,0,0,0,0,0,0,0
Onamia Public School District,Onamia Academy,Mille Lacs,Public,47,8160,0,0,0,0,0,0,0,0,0,0,0
Onamia Public School District,KOKESH AREA LEARNING CENTER,Mille Lacs,Public,21,7168,0,0,0,0,0,0,0,0,0,0,0
Onamia Public School District,Onamia Intermediate School,Mille Lacs,Public,298,1016,0,0,0,0,0,0,0,0,0,0,0
Little Falls Public School District,Lincoln Elementary,Morrison,Public,405,63,0,0,0,5,10,10,10,10,10,10,10
Little Falls Public School District,Lindbergh Elementary,Morrison,Public,508,63,0,0,0,5,5,5,5,5,5,5,5
Little Falls Public School District,Knight Elementary,Morrison,Public,104,63,0,0,5,5,5,5,5,5,5,5,5
Little Falls Public School District,Community Middle,Morrison,Public,549,448,0,10,30,40,45,45,45,45,45,45,45
Little Falls Public School District,Little Falls Senior High,Morrison,Public,745,7680,5,15,25,35,45,45,45,45,45,55,55
Little Falls Public School District,LITTLE FALLS CONTINUING EDUCATION,Morrison,Public,62,6656,0,0,0,0,0,0,0,0,0,0,0
Pierz Public School District,Pioneer Elementary,Morrison,Public,612,127,0,0,5,10,10,10,10,10,10,15,15
Pierz Public School District,Healy Secondary,Morrison,Public,604,8064,0,5,5,5,5,5,5,5,5,10,10
Royalton Public School District,Royalton Elementary,Morrison,Public,394,63,0,10,10,10,10,10,10,10,10,10,10
Royalton Public School District,Royalton High School,Morrison,Public,300,7680,0,5,10,10,10,10,10,10,10,10,10
Royalton Public School District,Royalton Middle School,Morrison,Public,231,448,5,15,15,15,15,15,15,15,15,15,15
Royalton Public School District,Royalton Public Schools Early Childhood Center,Morrison,Public,3,1,0,0,0,0,0,0,0,0,0,0,0
Swanville Public School District,Swanville Elementary,Morrison,Public,196,127,0,5,10,10,10,10,10,10,10,10,10
Swanville Public School District,Swanville Secondary,Morrison,Public,142,8064,0,5,5,5,5,5,5,5,5,5,5
Upsala Public School District,Upsala Elementary,Morrison,Public,194,127,0,0,0,0,0,0,0,0,0,0,0
Upsala Public School District,Upsala Secondary,Morrison,Public,173,8064,0,0,5,5,5,5,5,5,5,5,5
Austin Public School District,Banfield Elementary,Mower,Public,435,30,0,10,10,10,10,10,10,10,15,25,25
Austin Public School District,Neveln Elementary,Mower,Public,285,30,0,0,0,0,0,0,0,0,0,5,5
Austin Public School District,Southgate Elementary,Mower,Public,516,30,5,10,10,10,10,10,10,10,10,15,15
Austin Public School District,Sumner Elementary,Mower,Public,245,30,0,0,0,0,0,0,0,0,0,0,0
Austin Public School District,CLC - Pre-Kindergarten,Mower,Public,115,1,0,0,0,0,0,0,0,0,0,0,0
Austin Public School District,Woodson Kindergarten Center,Mower,Public,354,1,0,0,0,0,0,0,0,0,5,10,10
Austin Public School District,Austin Community Learning Center,Mower,Public,65,1,0,0,0,0,0,0,0,0,5,5,5
Austin Public School District,Austin Area Learning Center,Mower,Public,172,7552,0,0,0,0,0,0,0,0,0,0,0
Austin Public School District,Austin Senior High,Mower,Public,1308,7680,10,15,20,25,35,35,40,45,55,75,75
Austin Public School District,I.J. Holton Intermediate School,Mower,Public,769,96,5,10,15,15,20,20,25,25,35,40,40
Austin Public School District,Ellis Middle,Mower,Public,770,384,0,0,5,5,5,5,5,5,10,20,20
Grand Meadow Public School District,Grand Meadow Elementary,Mower,Public,176,31,0,10,10,10,10,10,10,10,10,10,10
Grand Meadow Public School District,Grand Meadow Middle,Mower,Public,143,480,0,5,10,10,10,10,10,10,10,10,10
Grand Meadow Public School District,Grand Meadow Senior High,Mower,Public,126,7680,5,10,15,15,15,15,15,15,15,15,15
Lyle Public School District,Lyle Elementary,Mower,Public,145,63,0,0,0,0,0,0,0,0,0,0,0
Lyle Public School District,Lyle Secondary,Mower,Public,161,8128,0,0,0,0,0,0,0,0,0,0,0
LeRoy-Ostrander Public Schools,LeRoy Elementary,Mower,Public,122,63,0,0,5,5,5,5,5,5,5,5,5
LeRoy-Ostrander Public Schools,LeRoy Secondary,Mower,Public,144,8128,0,0,0,0,0,0,0,0,0,0,0
Southland Public School District,Southland Elementary,Mower,Public,147,63,0,0,5,10,10,10,10,10,10,10,10
Southland Public School District,Southland Senior High,Mower,Public,144,7680,0,0,0,5,5,5,5,5,5,5,5
Southland Public School District,Southland Middle,Mower,Public,98,448,0,0,0,0,0,0,0,0,0,5,5
Fulda Public School District,Fulda Elementary,Murray,Public,207,127,0,0,10,10,15,15,15,15,15,15,15
Fulda Public School District,Fulda Secondary,Murray,Public,155,8064,0,0,5,10,10,10,10,10,10,15,15
Nicollet Public School District,Nicollet Elementary School,Nicollet,Public,125,31,0,0,5,5,5,5,5,5,5,5,5
Nicollet Public School District,Nicollet Middle School,Nicollet,Public,119,480,0,0,5,5,5,5,5,5,5,5,5
Nicollet Public School District,Nicollet Senior High School,Nicollet,Public,127,7680,0,0,5,5,5,5,5,5,5,5,5
Nicollet Public School District,Nicollet Early Childhood Special Education,Nicollet,Public,2,1,0,0,0,0,0,0,0,0,0,0,0
St. Peter Public School District,Rock Bend HS ALC,Nicollet,Public,26,7168,0,0,0,0,0,0,0,0,0,0,0
St. Peter Public School District,North Elementary School,Nicollet,Public,460,28,0,0,0,0,0,0,0,0,0,0,0
St. Peter Public School District,St. Peter High School,Nicollet,Public,694,7936,5,5,5,5,5,5,5,5,5,10,10
St. Peter Public School District,South Elementary School,Nicollet,Public,264,3,0,0,0,0,0,5,5,5,5,5,5
St. Peter Public School District,St. Peter ECSE,Nicollet,Public,67,1,0,0,0,0,0,0,0,0,0,0,0
St. Peter Public School District,Hoffman Learning Center,Nicollet,Public,25,8128,0,0,0,0,0,0,0,0,0,0,0
St. Peter Public School District,St. Peter Middle School,Nicollet,Public,662,480,5,5,5,10,15,15,20,20,20,20,20
Adrian Public School District,Adrian Elementary,Nobles,Public,274,63,0,0,0,0,0,0,0,0,0,0,0
Adrian Public School District,Adrian Middle,Nobles,Public,111,448,0,0,0,0,0,0,0,0,0,0,0
Adrian Public School District,Adrian Secondary,Nobles,Public,187,7680,0,0,0,0,0,0,0,0,0,0,0
Ellsworth Public School District,Ellsworth Elementary,Nobles,Public,75,127,0,0,0,0,0,0,0,0,0,0,0
Ellsworth Public School District,Ellsworth Secondary,Nobles,Public,65,8064,0,0,0,0,0,0,0,0,0,0,0
Worthington Public School District,Prairie Elementary,Nobles,Public,1173,31,0,0,0,0,5,5,5,5,15,20,20
Worthington Public School District,Worthington Middle,Nobles,Public,946,480,0,5,10,10,15,15,15,15,20,25,25
Worthington Public School District,Learning Center,Nobles,Public,77,8064,0,0,0,0,0,0,0,0,0,0,0
Worthington Public School District,Early Childhood,Nobles,Public,32,1,0,0,0,0,0,0,0,0,0,0,0
Worthington Public School District,Worthington Senior High,Nobles,Public,1014,7680,0,0,5,10,10,10,10,10,20,20,20
Worthington Public School District,Learning Center Night,Nobles,Public,27,6144,0,0,0,0,0,0,0,0,0,0,0
Worthington Public School District,Worthington 518 (Virtual Instruction By Excellence),Nobles,Public,95,8191,0,0,0,0,0,0,0,0,0,0,0
Byron Public School District,Byron Intermediate School,Olmsted,Public,497,56,0,0,0,0,5,10,15,15,15,15,15
Byron Public School District,Byron Senior High School,Olmsted,Public,681,7680,0,0,0,0,5,5,10,10,20,30,30
Byron Public School District,Byron Middle School,Olmsted,Public,513,448,0,0,0,0,0,5,5,5,5,10,10
Byron Public School District,Byron Primary School,Olmsted,Public,573,7,0,5,5,5,5,10,15,15,15,20,20
Dover-Eyota Public School District,Dover-Eyota Elementary,Olmsted,Public,487,63,0,0,5,5,5,5,5,10,10,10,10
Dover-Eyota Public School District,Dover-Eyota Middle School,Olmsted,Public,249,448,0,0,0,0,0,0,0,0,0,0,0
Dover-Eyota Public School District,Dover-Eyota High School,Olmsted,Public,349,7680,0,0,0,0,0,0,0,0,0,0,0
Stewartville Public School District,Bear Cave Intermediate School,Olmsted,Public,519,56,0,0,5,5,10,15,15,15,15,25,25
Stewartville Public School District,Bonner Elementary,Olmsted,Public,461,7,0,0,5,5,10,20,20,25,25,25,25
Stewartville Public School District,Stewartville Middle,Olmsted,Public,481,448,0,5,25,30,30,30,35,35,35,55,55
Stewartville Public School District,Stewartville Senior High,Olmsted,Public,628,7680,0,10,15,15,15,15,15,20,30,50,50
Stewartville Public School District,Central Education Center,Olmsted,Public,27,1,0,0,0,0,0,0,0,0,0,0,0
Rochester Public School District,Project Search Mayo Clinic,Olmsted,Public,9,4096,0,0,0,0,0,0,0,0,0,0,0
Rochester Public School District,Bamber Valley Elementary,Olmsted,Public,764,63,10,20,20,25,25,25,30,30,30,35,35
Rochester Public School District,Bishop Elementary,Olmsted,Public,431,63,5,5,5,5,10,15,20,20,20,25,25
Rochester Public School District,Churchill Elementary,Olmsted,Public,292,7,0,0,0,0,0,0,0,0,0,0,0
Rochester Public School District,Elton Hills Elementary,Olmsted,Public,423,63,0,0,5,10,10,10,10,10,10,10,10
Rochester Public School District,Folwell Elementary,Olmsted,Public,290,63,0,0,0,0,0,0,0,0,0,0,0
Rochester Public School District,Franklin Elementary,Olmsted,Public,547,63,0,5,5,5,5,15,15,15,20,25,25
Rochester Public School District,Montessori At Franklin,Olmsted,Public,181,63,0,0,0,0,5,10,10,10,10,10,10
Rochester Public School District,Gage Elementary,Olmsted,Public,684,63,5,10,10,10,10,20,25,25,25,25,25
Rochester Public School District,George W. Gibbs Elementary,Olmsted,Public,782,63,0,0,10,10,20,30,30,30,35,40,40
Rochester Public School District,Hoover Elementary,Olmsted,Public,252,56,0,5,5,5,15,15,15,15,15,15,15
Rochester Public School District,Jefferson Elementary,Olmsted,Public,579,63,0,5,5,5,10,15,15,15,15,15,15
Rochester Public School District,Lincoln K-8 Choice Elementary,Olmsted,Public,466,511,0,0,0,0,5,10,10,10,10,15,15
Rochester Public School District,Longfellow Choice Elementary,Olmsted,Public,303,63,0,5,5,5,5,10,10,10,10,10,10
Rochester Public School District,Pinewood Elementary,Olmsted,Public,361,63,0,0,0,0,10,15,15,15,15,15,15
Rochester Public School District,Riverside Central Elementary,Olmsted,Public,409,63,0,0,0,5,5,5,5,5,5,10,10
Rochester Public School District,Sunset Terrace Elementary,Olmsted,Public,650,63,5,5,5,5,5,5,5,5,10,15,15
Rochester Public School District,Washington Elementary,Olmsted,Public,326,63,0,5,5,5,5,5,5,5,5,5,5
Rochester Public School District,Early Childhood Intervention,Olmsted,Public,121,1,0,0,0,0,0,0,0,0,0,0,0
Rochester Public School District,ECSE Community,Olmsted,Public,30,1,0,0,0,0,0,0,0,0,0,0,0
Rochester Public School District,Mighty Oaks Early Learning School,Olmsted,Public,60,1,0,0,0,0,0,0,0,0,0,0,0
Rochester Public School District,Hoover Early Learning School,Olmsted,Public,143,1,0,0,0,0,0,0,0,0,0,0,0
Rochester Public School District,Care & Treatment Hospital/Homebound,Olmsted,Public,1,32,0,0,0,0,0,0,0,0,0,0,0
Rochester Public School District,Care & Treatment JDC/Von Wald,Olmsted,Public,9,7040,0,0,0,0,0,0,0,0,0,0,0
Rochester Public School District,PrairieCare,Olmsted,Public,17,8152,0,0,0,0,0,0,0,0,0,0,0
Rochester Public School District,Century Senior High,Olmsted,Public,1604,7680,10,15,20,25,35,45,45,45,55,60,60
Rochester Public School District,Rochester Alternative Learning Center,Olmsted,Public,346,7680,0,0,0,0,0,0,0,0,0,0,0
Rochester Public School District,Rochester Alternative Learning Center Recovery Program,Olmsted,Public,11,7168,0,0,0,0,0,0,0,0,0,0,0
Rochester Public School District,John Marshall Senior High,Olmsted,Public,1629,7680,5,15,20,25,35,40,45,45,55,75,75
Rochester Public School District,Mayo Senior High,Olmsted,Public,1941,7680,0,5,15,25,25,35,40,40,60,70,70
Rochester Public School District,Rochester Academy for Independent Living (RAIL),Olmsted,Public,66,4096,0,0,0,0,0,0,0,0,0,0,0
Rochester Public School District,John Adams Middle,Olmsted,Public,1061,448,0,10,15,15,20,20,25,25,30,40,40
Rochester Public School District,LEAP Launching Emerging Adults Program,Olmsted,Public,7,6144,0,0,0,0,0,0,0,0,0,0,0
Rochester Public School District,Middle School Right Fit,Olmsted,Public,15,448,0,0,0,0,0,0,0,0,0,0,0
Rochester Public School District,Willow Creek Middle,Olmsted,Public,1003,448,5,10,15,25,30,35,40,40,45,55,55
Rochester Public School District,Kellogg Middle,Olmsted,Public,1128,448,10,15,20,20,25,30,30,30,40,50,50
Rochester Public School District,Friedell Middle,Olmsted,Public,462,448,0,0,0,0,0,0,0,0,0,5,5
Rochester Public School District,Rochester Phoenix Academy,Olmsted,Public,71,8182,0,0,0,0,0,0,0,0,0,0,0
Battle Lake Public School District,Battle Lake Elementary,Otter Tail,Public,228,127,0,0,0,0,0,0,0,0,0,0,0
Battle Lake Public School District,Battle Lake Secondary,Otter Tail,Public,198,8064,0,0,0,0,0,0,0,0,0,0,0
Fergus Falls Public School District,Adams Elementary,Otter Tail,Public,251,6,0,5,15,15,15,15,20,20,20,20,20
Fergus Falls Public School District,Cleveland Elementary,Otter Tail,Public,359,28,0,0,5,5,5,5,5,5,5,5,5
Fergus Falls Public School District,McKinley Elementary,Otter Tail,Public,231,3,0,0,0,0,0,0,0,0,0,0,0
Fergus Falls Public School District,iQ Academy Minnesota,Otter Tail,Public,759,8191,0,0,0,0,0,0,0,0,0,0,0
Fergus Falls Public School District,Fergus Falls Area Learning Center,Otter Tail,Public,106,8128,0,0,0,0,10,10,10,10,10,10,10
Fergus Falls Public School District,Kennedy Middle School,Otter Tail,Public,752,480,0,0,10,10,20,20,20,20,20,30,30
Fergus Falls Public School District,Kennedy High School,Otter Tail,Public,638,7680,0,0,5,10,20,20,20,20,20,25,25
Henning Public School District,Henning Elementary,Otter Tail,Public,213,127,0,0,0,0,5,5,5,5,5,10,10
Henning Public School District,Henning Secondary,Otter Tail,Public,155,8064,0,0,0,0,0,0,0,0,0,0,0
Parkers Prairie Public School Dist.,Parkers Prairie Elementary,Otter Tail,Public,234,127,0,0,5,5,5,5,5,5,5,5,5
Parkers Prairie Public School Dist.,Parkers Prairie Secondary,Otter Tail,Public,287,8064,0,0,0,0,0,0,0,0,0,0,0
Pelican Rapids Public School Dist.,Viking Elementary School,Otter Tail,Public,485,127,5,5,5,5,5,5,5,5,5,5,5
Pelican Rapids Public School Dist.,Pelican Rapids Secondary,Otter Tail,Public,415,8064,0,0,0,0,0,0,0,0,0,0,0
Perham-Dent Public School District,Heart of The Lake Elementary,Otter Tail,Public,529,31,5,10,15,15,15,15,15,15,15,15,15
Perham-Dent Public School District,Prairie Wind Middle,Otter Tail,Public,480,480,0,0,5,10,10,10,10,10,10,10,10
Perham-Dent Public School District,Perham Senior High,Otter Tail,Public,431,7680,0,10,15,15,15,15,15,15,15,15,15
Perham-Dent Public School District,Perham Area Learning Center,Otter Tail,Public,58,7552,0,0,0,0,0,0,0,0,0,0,0
Underwood Public School District,Underwood Elementary,Otter Tail,Public,290,127,0,5,5,10,10,10,10,10,10,10,10
Underwood Public School District,Underwood Secondary,Otter Tail,Public,273,8064,0,0,0,0,0,5,5,5,5,5,5
New York Mills Public School Dist.,New York Mills Elementary,Otter Tail,Public,399,127,0,5,5,5,10,10,10,10,10,15,15
New York Mills Public School Dist.,New York Mills Secondary,Otter Tail,Public,340,8064,0,5,5,5,5,5,5,5,5,5,5
Goodridge Public School District,Goodridge Elementary,Pennington,Public,160,127,0,0,0,0,0,0,0,0,0,0,0
