0152-01-189,Moorhead Public School District,S.G.Reinertsen Elementary,Clay,725
0152-01-380,Moorhead Public School District,Horizon Middle School,Clay,2189
0152-01-382,Moorhead Public School District,Moorhead High School,Clay,1890
0152-01-960,Moorhead Public School District,West Central Academy-S,Clay,31
0152-01-970,Moorhead Public School District,West Central Academy-N,Clay,17
0152-01-980,Moorhead Public School District,Red River Area Learning Center,Clay,99
0152-01-990,Moorhead Public School District,Clay County Outreach Center,Clay,4
0160-70-001,Minnesota State Academies,MN Academy For The Blind,Rice,47
0160-70-002,Minnesota State Academies,MN Academy For The Deaf,Rice,97
0162-01-010,Bagley Public School District,Bagley Elementary,Clearwater,514
0162-01-020,Bagley Public School District,Bagley Secondary,Clearwater,420
0162-01-030,Bagley Public School District,Bagley ALP,Clearwater,2
0166-01-040,Cook County Public Schools,Cook County Middle,Cook,98
0166-01-050,Cook County Public Schools,Cook County Senior High,Cook,166
0166-01-060,Cook County Public Schools,Sawtooth Mountain Elementary,Cook,133
0173-01-010,Mountain Lake Public Schools,Mountain Lake Elementary,Cottonwood,257
