MDE ID, County, Name, City, 9/18/21, 10/2/21
0486-01-020, Morrison, Swanville Secondary, Swanville, 0-4, 5-9
0500-31-001, Mower, Sacred Heart, Adams, 5-9, 0-4
0492-01-200, Mower, Austin Senior High, Austin, 10-19, 5-9
0492-01-010, Mower, Banfield Elementary, Austin, 0-4, 10-19
0492-01-300, Mower, Ellis Middle, Austin, 0-4, 0-4
0492-01-280, Mower, I-J- Holton Intermediate School, Austin, 5-9, 5-9
0492-01-070, Mower, Southgate Elementary, Austin, 5-9, 5-9
0495-01-010, Mower, Grand Meadow Elementary, Grand Meadow, 0-4, 5-9
0495-01-020, Mower, Grand Meadow Middle, Grand Meadow, 0-4, 5-9
0495-01-030, Mower, Grand Meadow Senior High, Grand Meadow, 5-9, 5-9
0505-01-010, Murray, Fulda Elementary, Fulda, 0-4, 0-4
2169-01-010, Murray, Murray Co- Central Elementary, Slayton, 0-4, 5-9
2169-01-020, Murray, Murray County Central Secondary, Slayton, 0-4, 10-19
0088-31-003, Nicollet, Minnesota Valley Lutheran, New Ulm, 5-9, 0-4
0077-01-040, Nicollet, Monroe Elementary, North Mankato, 0-4, 0-4
0508-01-040, Nicollet, St- Peter High School, Saint Peter, 5-9, 0-4
0508-01-080, Nicollet, St- Peter Middle School, Saint Peter, 5-9, 0-4
0518-01-004, Nobles, Worthington Middle, Worthington, 0-4, 5-9
0535-01-110, Olmsted, Bamber Valley Elementary, Rochester, 10-19, 10-19
0535-01-112, Olmsted, Bishop Elementary, Rochester, 5-9, 0-4
0535-01-305, Olmsted, Century Senior High, Rochester, 10-19, 5-9
0535-01-124, Olmsted, Franklin Elementary, Rochester, 0-4, 5-9
0535-01-126, Olmsted, Gage Elementary, Rochester, 5-9, 5-9
0535-01-129, Olmsted, George W- Gibbs Elementary, Rochester, 0-4, 0-4
0535-31-179, Olmsted, Holy Spirit, Rochester, 5-9, 0-4
0535-01-134, Olmsted, Hoover Elementary, Rochester, 0-4, 5-9
0535-01-136, Olmsted, Jefferson Elementary, Rochester, 0-4, 5-9
0535-01-325, Olmsted, John Adams Middle, Rochester, 0-4, 10-19
0535-01-310, Olmsted, John Marshall Senior High, Rochester, 5-9, 10-19
0535-01-335, Olmsted, Kellogg Middle, Rochester, 10-19, 5-9
0535-01-140, Olmsted, Longfellow Choice Elementary, Rochester, 0-4, 5-9
0535-01-315, Olmsted, Mayo Senior High, Rochester, 0-4, 5-9
4135-07-010, Olmsted, Rochester Math And Science Academy, Rochester, 0-4, 5-9
0535-01-150, Olmsted, Sunset Terrace Elementary, Rochester, 5-9, 0-4
0535-01-330, Olmsted, Willow Creek Middle, Rochester, 5-9, 5-9
0534-01-011, Olmsted, Bonner Elementary, Stewartville, 0-4, 0-4
0534-01-020, Olmsted, Stewartville Middle, Stewartville, 0-4, 5-9
0534-01-030, Olmsted, Stewartville Senior High, Stewartville, 0-4, 10-19
0544-01-130, Otter Tail, Adams Elementary, Fergus Falls, 0-4, 5-9
0553-01-010, Otter Tail, New York Mills Elementary, New York Mills, 0-4, 5-9
0553-01-020, Otter Tail, New York Mills Secondary, New York Mills, 0-4, 5-9
0548-01-010, Otter Tail, Viking Elementary School, Pelican Rapids, 5-9, 0-4
0549-01-010, Otter Tail, Heart of The Lake Elementary, Perham, 5-9, 5-9
0549-01-030, Otter Tail, Perham Senior High, Perham, 0-4, 10-19
0550-01-010, Otter Tail, Underwood Elementary, Underwood, 0-4, 5-9
0564-01-060, Pennington, Franklin Middle, Thief River Falls, 5-9, 0-4
0577-01-040, Pine, Willow River Secondary, Willow River, 5-9, 10-19
